City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Butaritari,KI,81.95,light rain,3.0707,172.7902,Isles Sunset Lodge
5,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
7,Cabo San Lucas,MX,76.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
8,Rikitea,PF,75.81,clear sky,-23.1203,-134.9692,People ThankYou
11,Airai,TL,75.56,overcast clouds,-8.9266,125.4092,Juvinal Martin
14,Boyuibe,BO,78.58,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
19,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Alyangula,AU,86.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
31,Hithadhoo,MV,81.41,light rain,-0.6,73.0833,Scoop Guest House
39,Tarakan,ID,80.1,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
43,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
50,Bandarbeyla,SO,76.19,broken clouds,9.4942,50.8122,JABIR HOTEL
57,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
60,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
62,Bengkulu,ID,79.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
73,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
77,Atuona,PF,77.29,light rain,-9.8,-139.0333,Villa Enata
78,Cockburn Town,TC,81.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
82,Boueni,YT,80.58,few clouds,-12.9025,45.0761,The feet in water
83,Buala,SB,84.72,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
85,Yaan,NG,77.2,overcast clouds,7.3833,8.5667,
88,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
91,Wattegama,LK,76.75,overcast clouds,6.7989,81.4808,
103,Oussouye,SN,77.67,broken clouds,12.485,-16.5469,Auberge du Routard
104,Yulara,AU,76.14,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
113,Tema,GH,81.3,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
114,Atar,MR,77.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
116,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
