City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Faanui,PF,-16.4833,-151.75,81.28,73,100,7.18,light rain
1,Buraydah,SA,26.326,43.975,57.63,75,3,8.84,clear sky
2,Narsaq,GL,60.9167,-46.05,23.22,75,2,5.97,clear sky
3,Ventspils,LV,57.3894,21.5606,42.73,81,90,17.27,overcast clouds
4,Butaritari,KI,3.0707,172.7902,81.95,77,22,11.56,light rain
5,Avarua,CK,-21.2078,-159.775,78.85,69,90,9.22,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,52.29,76,44,6.33,scattered clouds
7,Cabo San Lucas,MX,22.8909,-109.9124,76.51,76,1,3.0,clear sky
8,Rikitea,PF,-23.1203,-134.9692,75.81,72,0,10.65,clear sky
9,Busselton,AU,-33.65,115.3333,68.13,43,0,0.22,clear sky
10,Provideniya,RU,64.3833,-173.3,10.51,61,40,17.9,scattered clouds
11,Airai,TL,-8.9266,125.4092,75.56,55,92,1.39,overcast clouds
12,Hualmay,PE,-11.0964,-77.6139,65.57,83,100,7.74,overcast clouds
13,Shieli,KZ,44.1667,66.75,36.81,75,65,6.76,broken clouds
14,Boyuibe,BO,-20.4167,-63.2833,78.58,56,100,7.56,overcast clouds
15,Tarancon,ES,40.0085,-3.0073,39.34,84,26,14.0,scattered clouds
16,Yellowknife,CA,62.456,-114.3525,-6.59,89,100,15.1,overcast clouds
17,Baie-Comeau,CA,49.2168,-68.1489,29.48,77,100,7.85,overcast clouds
18,Barrow,US,71.2906,-156.7887,-5.78,77,20,3.44,few clouds
19,Vaini,TO,-21.2,-175.2,82.56,78,20,9.22,few clouds
20,Sosnovoborsk,RU,56.1325,93.3589,31.55,72,98,13.2,overcast clouds
21,Andenes,NO,69.3143,16.1194,33.78,93,99,17.27,light rain
22,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.75,97,83,1.3,broken clouds
23,Nouadhibou,MR,20.931,-17.0347,70.18,76,1,11.86,clear sky
24,Along,IN,28.1667,94.7667,63.27,67,99,0.31,overcast clouds
25,Vuktyl,RU,63.8567,57.3094,6.57,92,100,8.3,overcast clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,70.03,72,10,15.7,clear sky
27,Dunedin,NZ,-45.8742,170.5036,56.19,61,6,6.82,clear sky
28,Alyangula,AU,-13.8483,136.4192,86.47,61,79,6.33,broken clouds
29,Roald,NO,62.5833,6.1333,43.09,93,75,16.11,broken clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,-5.64,96,99,9.33,overcast clouds
31,Hithadhoo,MV,-0.6,73.0833,81.41,78,100,18.1,light rain
32,Vestmannaeyjar,IS,63.4427,-20.2734,41.94,84,100,15.64,moderate rain
33,Laguna,US,38.421,-121.4238,60.24,83,1,0.0,clear sky
34,Amapa,BR,1.0,-52.0,71.02,99,27,1.36,scattered clouds
35,Albany,US,42.6001,-73.9662,33.37,72,13,8.48,few clouds
36,Port Elizabeth,ZA,-33.918,25.5701,62.1,83,100,18.81,overcast clouds
37,Saskylakh,RU,71.9167,114.0833,-25.06,98,13,8.39,few clouds
38,Saint George,US,37.1041,-113.5841,54.79,32,1,1.01,clear sky
39,Tarakan,ID,3.3,117.6333,80.1,89,40,0.0,moderate rain
40,Tasiilaq,GL,65.6145,-37.6368,26.76,60,94,9.15,overcast clouds
41,Tateyama,JP,34.9833,139.8667,64.09,72,58,1.72,broken clouds
42,Cape Town,ZA,-33.9258,18.4232,64.11,65,3,12.33,clear sky
43,Kapaa,US,22.0752,-159.319,82.38,74,90,1.99,overcast clouds
44,Altay,CN,47.8667,88.1167,17.73,73,49,6.13,scattered clouds
45,Tiksi,RU,71.6872,128.8694,-22.18,97,53,7.92,broken clouds
46,Nikolskoye,RU,59.7035,30.7861,26.8,94,100,5.01,overcast clouds
47,Port Hedland,AU,-20.3167,118.5667,89.65,45,44,9.22,scattered clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,58.08,72,6,1.99,clear sky
49,Ostrovnoy,RU,68.0531,39.5131,27.55,84,74,8.32,broken clouds
50,Bandarbeyla,SO,9.4942,50.8122,76.19,70,75,9.55,broken clouds
51,Bayir,TR,37.2687,28.2167,45.12,94,99,5.19,overcast clouds
52,Thompson,CA,55.7435,-97.8558,3.9,86,100,4.34,overcast clouds
53,Ushuaia,AR,-54.8,-68.3,38.86,70,75,17.27,broken clouds
54,Svetlogorsk,BY,52.6333,29.7333,25.25,72,34,1.77,scattered clouds
55,Qaqortoq,GL,60.7167,-46.0333,23.5,84,4,3.78,clear sky
56,Punta Arenas,CL,-53.15,-70.9167,41.11,60,75,2.3,broken clouds
57,Hilo,US,19.7297,-155.09,83.28,95,90,4.61,light rain
58,Lata,PT,40.1629,-8.3327,45.81,80,1,3.06,clear sky
59,Castro,BR,-24.7911,-50.0119,62.24,60,5,2.51,clear sky
60,Pitimbu,BR,-7.4706,-34.8086,79.39,72,65,8.97,broken clouds
61,Polunochnoye,RU,60.8697,60.4153,14.45,88,100,4.65,overcast clouds
62,Bengkulu,ID,-3.8004,102.2655,79.74,76,99,1.68,overcast clouds
63,Rehoboth,NA,-23.3167,17.0833,54.95,42,0,3.31,clear sky
64,Pooler,US,32.1155,-81.2471,58.95,85,20,9.22,few clouds
65,Jamestown,US,42.097,-79.2353,33.39,67,90,3.0,light snow
66,Yar-Sale,RU,66.8333,70.8333,14.99,96,100,6.31,light snow
67,Hermanus,ZA,-34.4187,19.2345,52.81,78,19,9.93,few clouds
68,Qaanaaq,GL,77.484,-69.3632,-6.36,85,98,5.3,overcast clouds
69,Kralovice,CZ,49.9819,13.4875,32.81,83,8,2.26,clear sky
70,Victoria,HK,22.2855,114.1577,61.18,77,100,11.01,overcast clouds
71,Tezu,IN,27.9167,96.1667,66.52,81,95,1.01,overcast clouds
72,Port Alfred,ZA,-33.5906,26.891,65.52,84,100,22.44,light rain
73,San Andres,CO,12.5847,-81.7006,82.42,78,75,9.22,broken clouds
74,Nadym,RU,65.5333,72.5167,14.67,96,100,5.73,light snow
75,Hobart,AU,-42.8794,147.3294,73.26,54,75,1.99,light rain
76,Srednekolymsk,RU,67.45,153.6833,-29.11,99,81,5.01,broken clouds
77,Atuona,PF,-9.8,-139.0333,77.29,77,100,8.66,light rain
78,Cockburn Town,TC,21.4612,-71.1419,81.03,76,4,12.17,clear sky
79,Dikson,RU,73.5069,80.5464,-11.54,94,100,17.74,overcast clouds
80,Vostok,RU,46.4856,135.8833,10.18,90,100,14.52,light snow
81,Port Lincoln,AU,-34.7333,135.8667,64.74,74,100,12.19,overcast clouds
82,Boueni,YT,-12.9025,45.0761,80.58,72,14,13.18,few clouds
83,Buala,SB,-8.145,159.5921,84.72,74,64,11.54,moderate rain
84,Selma,US,36.5708,-119.6121,57.25,32,98,2.3,overcast clouds
85,Yaan,NG,7.3833,8.5667,77.2,81,99,6.6,overcast clouds
86,Kristiansund,NO,63.1115,7.732,43.45,87,75,9.22,broken clouds
87,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,89,87,14.45,overcast clouds
88,Maceio,BR,-9.6658,-35.7353,78.24,83,20,2.3,few clouds
89,Mosjoen,NO,65.836,13.1908,39.2,100,75,2.3,light snow
90,Qiongshan,CN,20.0058,110.3542,68.65,69,78,16.02,broken clouds
91,Wattegama,LK,6.7989,81.4808,76.75,79,99,0.85,overcast clouds
92,Kesova Gora,RU,57.5836,37.2922,17.51,94,46,8.21,scattered clouds
93,Northam,GB,51.0333,-4.2167,40.39,80,16,6.04,few clouds
94,East London,ZA,-33.0153,27.9116,66.18,86,100,19.33,light rain
95,Ambilobe,MG,-13.2,49.05,72.9,86,75,3.85,broken clouds
96,Pisco,PE,-13.7,-76.2167,66.25,82,90,12.66,overcast clouds
97,Kaitangata,NZ,-46.2817,169.8464,57.85,56,64,6.49,broken clouds
98,Mareeba,AU,-17.0,145.4333,97.45,44,3,3.18,clear sky
99,Ahar,IR,38.4774,47.0699,39.87,86,1,5.7,clear sky
100,Novovasylivka,UA,46.8315,35.7536,48.4,92,100,4.68,overcast clouds
101,Rabat,MA,33.9911,-6.8401,59.16,95,40,5.75,scattered clouds
102,Havoysund,NO,70.9963,24.6622,27.48,75,100,11.05,overcast clouds
103,Oussouye,SN,12.485,-16.5469,77.67,84,83,4.85,broken clouds
104,Yulara,AU,-25.2406,130.9889,76.14,56,100,6.29,overcast clouds
105,Mao,ES,39.8885,4.2658,52.36,93,0,6.91,clear sky
106,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,37,0,8.05,clear sky
107,Goderich,CA,43.7501,-81.7165,36.91,61,100,21.07,light rain
108,Muriwai Beach,NZ,-36.8167,174.45,73.18,58,3,8.57,clear sky
109,Wanning,CN,18.8003,110.3967,69.91,79,88,16.28,overcast clouds
110,Inhambane,MZ,-23.865,35.3833,73.78,81,100,8.25,overcast clouds
111,Shiyan,CN,32.6475,110.7781,48.9,45,1,4.27,clear sky
112,Cherskiy,RU,68.75,161.3,-32.39,100,15,2.21,few clouds
113,Tema,GH,5.667,-0.0166,81.3,76,9,5.53,clear sky
114,Atar,MR,20.5169,-13.0499,77.79,41,100,9.62,overcast clouds
115,Megion,RU,61.0296,76.1136,23.02,93,100,15.5,light snow
116,Georgetown,MY,5.4112,100.3354,83.89,84,20,2.3,few clouds
117,Touros,BR,-5.1989,-35.4608,79.7,76,93,12.93,overcast clouds
118,Axim,GH,4.8699,-2.2405,78.57,83,44,1.36,light rain
119,Lugoba,TZ,-6.45,38.3333,68.29,97,72,2.24,broken clouds
120,Guerrero Negro,MX,27.9769,-114.0611,70.95,48,100,7.14,overcast clouds
121,Mildura,AU,-34.2,142.15,79.07,50,40,9.22,scattered clouds
122,Blackwater,AU,-23.5833,148.8833,80.82,53,89,8.93,overcast clouds
123,Abu Samrah,SY,35.3029,37.1841,54.25,68,0,1.41,clear sky
124,Yoichi,JP,43.2039,140.7703,37.0,69,100,22.95,overcast clouds
125,Guacimo,CR,10.2104,-83.6807,81.18,93,100,2.68,overcast clouds
126,Haines Junction,CA,60.7522,-137.5108,1.56,99,100,2.15,overcast clouds
127,Kodiak,US,57.79,-152.4072,18.91,49,1,11.5,clear sky
128,Ayan,RU,56.45,138.1667,23.76,80,100,30.82,overcast clouds
129,Mana,GF,5.6592,-53.7767,78.17,88,79,6.13,broken clouds
130,Lebu,CL,-37.6167,-73.65,54.93,84,0,20.31,clear sky
131,Longyearbyen,SJ,78.2186,15.6401,3.04,72,20,10.36,few clouds
132,Chuy,UY,-33.6971,-53.4616,66.36,63,12,17.45,few clouds
133,Nanortalik,GL,60.1432,-45.2371,21.99,76,5,15.73,clear sky
134,Mehamn,NO,71.0357,27.8492,20.19,65,100,5.59,overcast clouds
135,Coquimbo,CL,-29.9533,-71.3436,58.73,82,90,6.91,overcast clouds
136,Berlevag,NO,70.8578,29.0864,24.98,54,100,2.17,overcast clouds
137,Kyren,RU,51.6828,102.1408,21.72,76,99,0.43,overcast clouds
138,Mataura,NZ,-46.1927,168.8643,63.0,45,83,5.39,broken clouds
