City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ulladulla,-35.35,150.4667,58.87,82,100,6.69,AU,2021-11-21 15:17:46
1,Puerto Ayora,-0.7393,-90.3518,75.16,75,77,10.07,EC,2021-11-21 15:17:47
2,Saldanha,-33.0117,17.9442,80.65,72,13,20.15,ZA,2021-11-21 15:17:47
3,Komsomolskiy,40.4272,71.7189,40.42,55,23,4.61,UZ,2021-11-21 15:17:47
4,Rikitea,-23.1203,-134.9692,72.48,68,5,8.88,PF,2021-11-21 15:17:48
5,Socorro,31.6546,-106.3033,59.09,28,75,11.5,US,2021-11-21 15:17:48
6,Troitskoye,52.9821,84.6757,16.21,85,100,4.47,RU,2021-11-21 15:17:49
7,Saint George,37.1041,-113.5841,43.79,52,1,4.0,US,2021-11-21 15:16:34
8,Dikson,73.5069,80.5464,-7.47,75,15,16.17,RU,2021-11-21 15:17:49
9,Hobart,-42.8794,147.3294,55.26,85,90,0.0,AU,2021-11-21 15:13:07
10,Ribeira Grande,38.5167,-28.7,66.6,72,75,24.16,PT,2021-11-21 15:17:50
11,Albany,42.6001,-73.9662,47.8,64,90,3.96,US,2021-11-21 15:16:25
12,Maneadero,31.7167,-116.5667,64.78,40,98,6.24,MX,2021-11-21 15:17:51
13,Tigil,57.8,158.6667,21.09,82,100,9.51,RU,2021-11-21 15:17:51
14,San Pedro,14.35,121.0167,82.35,88,40,2.3,PH,2021-11-21 15:17:51
15,Mastic,40.802,-72.8409,51.46,73,90,4.61,US,2021-11-21 15:17:52
16,Lompoc,34.6391,-120.4579,62.13,79,1,4.61,US,2021-11-21 15:17:52
17,Half Moon Bay,37.4636,-122.4286,56.98,57,1,0.0,US,2021-11-21 15:13:48
18,Codrington,-38.2667,141.9667,47.25,89,17,5.21,AU,2021-11-21 15:17:53
19,Ponta Do Sol,32.6667,-17.1,68.13,75,100,13.02,PT,2021-11-21 15:17:54
20,Kapaa,22.0752,-159.319,71.92,87,75,4.61,US,2021-11-21 15:17:54
21,Ushuaia,-54.8,-68.3,38.86,70,75,24.16,AR,2021-11-21 15:17:54
22,San Patricio,28.017,-97.5169,78.93,79,13,7.52,US,2021-11-21 15:17:55
23,Hermanus,-34.4187,19.2345,77.9,71,64,20.67,ZA,2021-11-21 15:17:55
24,Hambantota,6.1241,81.1185,78.33,75,66,10.42,LK,2021-11-21 15:17:55
25,Benidorm,38.5382,-0.131,68.09,72,99,1.01,ES,2021-11-21 15:17:56
26,Bluff,-46.6,168.3333,52.02,82,100,11.48,NZ,2021-11-21 15:17:56
27,Nanzhou,29.3596,112.4024,51.71,45,100,13.06,CN,2021-11-21 15:17:57
28,Kodiak,57.79,-152.4072,18.91,68,1,5.75,US,2021-11-21 15:17:57
29,Sioux Lookout,50.1001,-91.917,17.98,79,75,24.16,CA,2021-11-21 15:17:58
30,Srednekolymsk,67.45,153.6833,-16.19,100,97,0.96,RU,2021-11-21 15:17:59
31,Bethel,41.3712,-73.414,49.89,66,40,1.01,US,2021-11-21 15:17:19
32,Smolensk,55.0,33.0,34.66,99,100,3.69,RU,2021-11-21 15:17:59
